customerID,Churn,CustomerStatus,ChurnFlag,RetentionPriority
7760-OYPDY,Yes,Churned,1,Priority 3 - Low Value Churned
7639-LIAYI,No,Retained,0,Priority 4 - High Value Retained
2954-PIBKO,No,Retained,0,Priority 4 - High Value Retained
8012-SOUDQ,No,Retained,0,Priority 4 - High Value Retained
9420-LOJKX,Yes,Churned,1,Priority 2 - Medium Value Churned
6575-SUVOI,No,Retained,0,Priority 5 - Other Retained
7495-OOKFY,Yes,Churned,1,Priority 3 - Low Value Churned
4667-QONEA,No,Retained,0,Priority 4 - High Value Retained
1658-BYGOY,Yes,Churned,1,Priority 2 - Medium Value Churned
8769-KKTPH,No,Retained,0,Priority 4 - High Value Retained
5067-XJQFU,No,Retained,0,Priority 4 - High Value Retained
3957-SQXML,No,Retained,0,Priority 5 - Other Retained
5954-BDFSG,No,Retained,0,Priority 4 - High Value Retained
0434-CSFON,No,Retained,0,Priority 4 - High Value Retained
1215-FIGMP,No,Retained,0,Priority 4 - High Value Retained
0526-SXDJP,No,Retained,0,Priority 4 - High Value Retained
0557-ASKVU,No,Retained,0,Priority 5 - Other Retained
5698-BQJOH,Yes,Churned,1,Priority 2 - Medium Value Churned
5122-CYFXA,No,Retained,0,Priority 5 - Other Retained
8627-ZYGSZ,No,Retained,0,Priority 4 - High Value Retained
3410-YOQBQ,No,Retained,0,Priority 5 - Other Retained
3170-NMYVV,No,Retained,0,Priority 5 - Other Retained
7410-OIEDU,No,Retained,0,Priority 5 - Other Retained
2273-QCKXA,No,Retained,0,Priority 5 - Other Retained
0731-EBJQB,No,Retained,0,Priority 5 - Other Retained
1891-QRQSA,No,Retained,0,Priority 4 - High Value Retained
8028-PNXHQ,No,Retained,0,Priority 5 - Other Retained
5630-AHZIL,No,Retained,0,Priority 5 - Other Retained
2673-CXQEU,No,Retained,0,Priority 4 - High Value Retained
6416-JNVRK,No,Retained,0,Priority 5 - Other Retained
5590-ZSKRV,No,Retained,0,Priority 5 - Other Retained
0191-ZHSKZ,No,Retained,0,Priority 5 - Other Retained
3887-PBQAO,No,Retained,0,Priority 5 - Other Retained
5919-TMRGD,Yes,Churned,1,Priority 3 - Low Value Churned
8108-UXRQN,No,Retained,0,Priority 5 - Other Retained
9191-MYQKX,Yes,Churned,1,Priority 3 - Low Value Churned
9919-YLNNG,No,Retained,0,Priority 4 - High Value Retained
0318-ZOPWS,No,Retained,0,Priority 5 - Other Retained
4445-ZJNMU,No,Retained,0,Priority 5 - Other Retained
4808-YNLEU,No,Retained,0,Priority 5 - Other Retained
1862-QRWPE,No,Retained,0,Priority 5 - Other Retained
2796-NNUFI,No,Retained,0,Priority 5 - Other Retained
3016-KSVCP,No,Retained,0,Priority 5 - Other Retained
4767-HZZHQ,No,Retained,0,Priority 5 - Other Retained
2424-WVHPL,No,Retained,0,Priority 5 - Other Retained
7233-PAHHL,No,Retained,0,Priority 4 - High Value Retained
6067-NGCEU,No,Retained,0,Priority 4 - High Value Retained
9848-JQJTX,No,Retained,0,Priority 4 - High Value Retained
8637-XJIVR,Yes,Churned,1,Priority 2 - Medium Value Churned
9803-FTJCG,No,Retained,0,Priority 4 - High Value Retained
0278-YXOOG,Yes,Churned,1,Priority 3 - Low Value Churned
3212-KXOCR,No,Retained,0,Priority 5 - Other Retained
4598-XLKNJ,Yes,Churned,1,Priority 2 - Medium Value Churned
6380-ARCEH,No,Retained,0,Priority 5 - Other Retained
3679-XASPY,No,Retained,0,Priority 5 - Other Retained
7123-WQUHX,No,Retained,0,Priority 4 - High Value Retained
5386-THSLQ,No,Retained,0,Priority 4 - High Value Retained
3192-NQECA,Yes,Churned,1,Priority 1 - High Value Churned
6180-YBIQI,No,Retained,0,Priority 5 - Other Retained
6728-DKUCO,No,Retained,0,Priority 4 - High Value Retained
9750-BOOHV,No,Retained,0,Priority 5 - Other Retained
8597-CWYHH,No,Retained,0,Priority 4 - High Value Retained
2848-YXSMW,No,Retained,0,Priority 5 - Other Retained
0486-HECZI,Yes,Churned,1,Priority 1 - High Value Churned
4549-ZDQYY,No,Retained,0,Priority 4 - High Value Retained
5712-AHQNN,No,Retained,0,Priority 4 - High Value Retained
4846-WHAFZ,Yes,Churned,1,Priority 1 - High Value Churned
5256-SKJGO,No,Retained,0,Priority 4 - High Value Retained
3071-VBYPO,No,Retained,0,Priority 5 - Other Retained
9560-BBZXK,No,Retained,0,Priority 5 - Other Retained
5299-RULOA,Yes,Churned,1,Priority 2 - Medium Value Churned
8402-OOOHJ,No,Retained,0,Priority 5 - Other Retained
9445-ZUEQE,No,Retained,0,Priority 5 - Other Retained
1091-SOZGA,No,Retained,0,Priority 4 - High Value Retained
2928-HLDBA,No,Retained,0,Priority 5 - Other Retained
0404-SWRVG,Yes,Churned,1,Priority 3 - Low Value Churned
6497-TILVL,No,Retained,0,Priority 5 - Other Retained
7219-TLZHO,No,Retained,0,Priority 5 - Other Retained
4622-YNKIJ,No,Retained,0,Priority 4 - High Value Retained
4412-YLTKF,Yes,Churned,1,Priority 2 - Medium Value Churned
6734-PSBAW,No,Retained,0,Priority 5 - Other Retained
3930-ZGWVE,No,Retained,0,Priority 5 - Other Retained
2639-UGMAZ,No,Retained,0,Priority 4 - High Value Retained
2876-GZYZC,No,Retained,0,Priority 5 - Other Retained
6207-WIOLX,Yes,Churned,1,Priority 2 - Medium Value Churned
8587-XYZSF,No,Retained,0,Priority 4 - High Value Retained
3091-FYHKI,Yes,Churned,1,Priority 3 - Low Value Churned
2372-HWUHI,Yes,Churned,1,Priority 3 - Low Value Churned
7799-LGRDP,No,Retained,0,Priority 5 - Other Retained
7850-VWJUU,No,Retained,0,Priority 5 - Other Retained
3774-VBNXY,No,Retained,0,Priority 5 - Other Retained
6217-KDYWC,No,Retained,0,Priority 5 - Other Retained
0390-DCFDQ,Yes,Churned,1,Priority 3 - Low Value Churned
3146-MSEGF,No,Retained,0,Priority 4 - High Value Retained
4080-OGPJL,Yes,Churned,1,Priority 3 - Low Value Churned
1095-WGNGG,No,Retained,0,Priority 4 - High Value Retained
2636-SJDOU,No,Retained,0,Priority 4 - High Value Retained
1131-QQZEB,No,Retained,0,Priority 5 - Other Retained
5716-EZXZN,No,Retained,0,Priority 4 - High Value Retained
6837-BJYDQ,No,Retained,0,Priority 5 - Other Retained
2135-RXIHG,Yes,Churned,1,Priority 3 - Low Value Churned
6440-DKQGE,No,Retained,0,Priority 5 - Other Retained
3466-BYAVD,No,Retained,0,Priority 5 - Other Retained
3780-YVMFA,No,Retained,0,Priority 5 - Other Retained
3874-EQOEP,Yes,Churned,1,Priority 3 - Low Value Churned
1679-JRFBR,No,Retained,0,Priority 4 - High Value Retained
9073-ZZIAY,No,Retained,0,Priority 4 - High Value Retained
3077-RSNTJ,No,Retained,0,Priority 5 - Other Retained
6551-GNYDG,No,Retained,0,Priority 5 - Other Retained
9167-APMXZ,No,Retained,0,Priority 5 - Other Retained
2749-CTKAJ,No,Retained,0,Priority 5 - Other Retained
6371-NZYEG,No,Retained,0,Priority 5 - Other Retained
7554-NEWDD,No,Retained,0,Priority 5 - Other Retained
8992-VONJD,No,Retained,0,Priority 5 - Other Retained
0867-MKZVY,Yes,Churned,1,Priority 2 - Medium Value Churned
4482-EWFMI,No,Retained,0,Priority 5 - Other Retained
4648-YPBTM,No,Retained,0,Priority 4 - High Value Retained
2907-ILJBN,No,Retained,0,Priority 5 - Other Retained
6345-FZOQH,No,Retained,0,Priority 5 - Other Retained
3376-BMGFE,Yes,Churned,1,Priority 3 - Low Value Churned
5997-OPVFA,No,Retained,0,Priority 4 - High Value Retained
3445-HXXGF,Yes,Churned,1,Priority 2 - Medium Value Churned
1159-WFSGR,No,Retained,0,Priority 5 - Other Retained
7654-YWJUF,No,Retained,0,Priority 4 - High Value Retained
1875-QIVME,Yes,Churned,1,Priority 3 - Low Value Churned
6727-IOTLZ,No,Retained,0,Priority 5 - Other Retained
0691-JVSYA,Yes,Churned,1,Priority 1 - High Value Churned
5918-VUKWP,No,Retained,0,Priority 5 - Other Retained
1744-JHKYS,No,Retained,0,Priority 5 - Other Retained
2656-FMOKZ,Yes,Churned,1,Priority 2 - Medium Value Churned
2070-FNEXE,Yes,Churned,1,Priority 3 - Low Value Churned
5947-SGKCL,No,Retained,0,Priority 5 - Other Retained
3712-PKXZA,No,Retained,0,Priority 5 - Other Retained
6317-YPKDH,Yes,Churned,1,Priority 3 - Low Value Churned
6582-OIVSP,No,Retained,0,Priority 5 - Other Retained
9367-WXLCH,Yes,Churned,1,Priority 3 - Low Value Churned
5524-KHNJP,No,Retained,0,Priority 5 - Other Retained
1918-ZBFQJ,Yes,Churned,1,Priority 2 - Medium Value Churned
1024-GUALD,Yes,Churned,1,Priority 3 - Low Value Churned
4827-USJHP,No,Retained,0,Priority 5 - Other Retained
8167-GJLRN,No,Retained,0,Priority 5 - Other Retained
0956-SYCWG,No,Retained,0,Priority 5 - Other Retained
8017-UVSZU,No,Retained,0,Priority 5 - Other Retained
7100-FQPRV,No,Retained,0,Priority 4 - High Value Retained
2472-OVKUP,Yes,Churned,1,Priority 3 - Low Value Churned
2984-RGEYA,No,Retained,0,Priority 5 - Other Retained
9680-NIAUV,No,Retained,0,Priority 4 - High Value Retained
2146-EGVDT,No,Retained,0,Priority 5 - Other Retained
2604-IJPDU,No,Retained,0,Priority 5 - Other Retained
9178-JHUVJ,No,Retained,0,Priority 5 - Other Retained
6168-YBYNP,No,Retained,0,Priority 4 - High Value Retained
7255-SSFBC,No,Retained,0,Priority 4 - High Value Retained
3645-DEYGF,No,Retained,0,Priority 5 - Other Retained
9323-HGFWY,No,Retained,0,Priority 5 - Other Retained
8544-GOQSH,No,Retained,0,Priority 5 - Other Retained
3363-DTIVD,No,Retained,0,Priority 4 - High Value Retained
7018-WBJNK,No,Retained,0,Priority 5 - Other Retained
9142-KZXOP,No,Retained,0,Priority 4 - High Value Retained
7674-YTAFD,No,Retained,0,Priority 5 - Other Retained
6348-SNFUS,No,Retained,0,Priority 4 - High Value Retained
1285-OKIPP,Yes,Churned,1,Priority 3 - Low Value Churned
7825-ECJRF,Yes,Churned,1,Priority 2 - Medium Value Churned
1347-KTTTA,No,Retained,0,Priority 4 - High Value Retained
7841-TZDMQ,Yes,Churned,1,Priority 3 - Low Value Churned
4195-NZGTA,No,Retained,0,Priority 5 - Other Retained
7157-SMCFK,No,Retained,0,Priority 5 - Other Retained
4709-LKHYG,No,Retained,0,Priority 5 - Other Retained
2504-DSHIH,No,Retained,0,Priority 5 - Other Retained
0699-NDKJM,No,Retained,0,Priority 4 - High Value Retained
9286-BHDQG,No,Retained,0,Priority 4 - High Value Retained
0230-WEQUW,No,Retained,0,Priority 4 - High Value Retained
2040-LDIWQ,No,Retained,0,Priority 4 - High Value Retained
6496-JDSSB,No,Retained,0,Priority 5 - Other Retained
9408-SSNVZ,Yes,Churned,1,Priority 3 - Low Value Churned
4443-EMBNA,No,Retained,0,Priority 5 - Other Retained
6469-MRVET,No,Retained,0,Priority 5 - Other Retained
0742-MOABM,Yes,Churned,1,Priority 3 - Low Value Churned
5961-VUSRV,No,Retained,0,Priority 5 - Other Retained
6778-JFCMK,No,Retained,0,Priority 5 - Other Retained
6341-JVQGF,No,Retained,0,Priority 5 - Other Retained
2232-DMLXU,Yes,Churned,1,Priority 3 - Low Value Churned
4811-JBUVU,No,Retained,0,Priority 5 - Other Retained
0945-TSONX,No,Retained,0,Priority 4 - High Value Retained
2651-ZCBXV,No,Retained,0,Priority 4 - High Value Retained
3316-UWXUY,No,Retained,0,Priority 4 - High Value Retained
8937-RDTHP,Yes,Churned,1,Priority 3 - Low Value Churned
7083-MIOPC,No,Retained,0,Priority 5 - Other Retained
1984-GPTEH,No,Retained,0,Priority 5 - Other Retained
1251-KRREG,Yes,Churned,1,Priority 3 - Low Value Churned
0621-JFHOL,No,Retained,0,Priority 5 - Other Retained
9903-LYSAB,No,Retained,0,Priority 5 - Other Retained
0094-OIFMO,Yes,Churned,1,Priority 2 - Medium Value Churned
9227-UAQFT,No,Retained,0,Priority 5 - Other Retained
7301-ABVAD,No,Retained,0,Priority 4 - High Value Retained
6614-FHDBO,No,Retained,0,Priority 4 - High Value Retained
7576-ASEJU,No,Retained,0,Priority 4 - High Value Retained
9058-HRZSV,No,Retained,0,Priority 4 - High Value Retained
4522-AKYLR,No,Retained,0,Priority 5 - Other Retained
0221-WMXNQ,No,Retained,0,Priority 5 - Other Retained
0303-UNCIP,No,Retained,0,Priority 5 - Other Retained
9947-OTFQU,Yes,Churned,1,Priority 2 - Medium Value Churned
0322-YINQP,Yes,Churned,1,Priority 3 - Low Value Churned
0959-WHOKV,No,Retained,0,Priority 4 - High Value Retained
4075-JFPGR,No,Retained,0,Priority 4 - High Value Retained
4629-NRXKX,Yes,Churned,1,Priority 3 - Low Value Churned
9514-JDSKI,Yes,Churned,1,Priority 3 - Low Value Churned
3282-ZISZV,No,Retained,0,Priority 5 - Other Retained
3675-YDUPJ,No,Retained,0,Priority 5 - Other Retained
4111-BNXIF,No,Retained,0,Priority 4 - High Value Retained
7017-VFHAY,No,Retained,0,Priority 4 - High Value Retained
6655-LHBYW,No,Retained,0,Priority 4 - High Value Retained
4959-JOSRX,Yes,Churned,1,Priority 3 - Low Value Churned
5046-NUHWD,No,Retained,0,Priority 5 - Other Retained
7273-TEFQD,Yes,Churned,1,Priority 3 - Low Value Churned
3606-TWKGI,Yes,Churned,1,Priority 2 - Medium Value Churned
7529-ZDFXI,No,Retained,0,Priority 4 - High Value Retained
7605-BDWDC,No,Retained,0,Priority 5 - Other Retained
1950-KSVVJ,No,Retained,0,Priority 4 - High Value Retained
0123-CRBRT,No,Retained,0,Priority 4 - High Value Retained
6292-TOSSS,No,Retained,0,Priority 5 - Other Retained
3197-ARFOY,No,Retained,0,Priority 5 - Other Retained
6323-AYBRX,Yes,Churned,1,Priority 2 - Medium Value Churned
7014-ZZXAW,No,Retained,0,Priority 5 - Other Retained
4385-GZQXV,Yes,Churned,1,Priority 2 - Medium Value Churned
7633-MVPUY,No,Retained,0,Priority 4 - High Value Retained
6366-ZGQGL,Yes,Churned,1,Priority 3 - Low Value Churned
4716-HHKQH,No,Retained,0,Priority 5 - Other Retained
5940-AHUHD,Yes,Churned,1,Priority 3 - Low Value Churned
6432-TWQLB,Yes,Churned,1,Priority 3 - Low Value Churned
4484-GLZOU,Yes,Churned,1,Priority 1 - High Value Churned
3179-GBRWV,No,Retained,0,Priority 5 - Other Retained
8645-KWHJO,No,Retained,0,Priority 5 - Other Retained
4130-MZLCC,No,Retained,0,Priority 5 - Other Retained
0314-TKOSI,No,Retained,0,Priority 5 - Other Retained
8229-MYEJZ,No,Retained,0,Priority 5 - Other Retained
2080-SRCDE,No,Retained,0,Priority 5 - Other Retained
9577-WJVCQ,No,Retained,0,Priority 4 - High Value Retained
9512-UIBFX,Yes,Churned,1,Priority 2 - Medium Value Churned
6202-DYYFX,No,Retained,0,Priority 5 - Other Retained
3808-HFKDE,No,Retained,0,Priority 5 - Other Retained
5583-SXDAG,Yes,Churned,1,Priority 3 - Low Value Churned
3488-PGMQJ,Yes,Churned,1,Priority 3 - Low Value Churned
3580-REOAC,Yes,Churned,1,Priority 3 - Low Value Churned
7534-BFESC,Yes,Churned,1,Priority 2 - Medium Value Churned
3727-OWVYD,No,Retained,0,Priority 5 - Other Retained
2294-SALNE,No,Retained,0,Priority 5 - Other Retained
4847-TAJYI,No,Retained,0,Priority 5 - Other Retained
1563-IWQEX,No,Retained,0,Priority 5 - Other Retained
8203-XJZRC,No,Retained,0,Priority 5 - Other Retained
6556-DBKZF,No,Retained,0,Priority 4 - High Value Retained
6851-WEFYX,No,Retained,0,Priority 4 - High Value Retained
2985-JUUBZ,No,Retained,0,Priority 4 - High Value Retained
6390-DSAZX,Yes,Churned,1,Priority 3 - Low Value Churned
0895-LMRSF,No,Retained,0,Priority 5 - Other Retained
8098-LLAZX,Yes,Churned,1,Priority 3 - Low Value Churned
8266-VBFQL,No,Retained,0,Priority 5 - Other Retained
8181-YHCMF,No,Retained,0,Priority 4 - High Value Retained
2240-HSJQD,No,Retained,0,Priority 4 - High Value Retained
1248-DYXUB,No,Retained,0,Priority 5 - Other Retained
0265-EDXBD,Yes,Churned,1,Priority 2 - Medium Value Churned
4115-BNPJY,No,Retained,0,Priority 5 - Other Retained
3167-SNQPL,No,Retained,0,Priority 4 - High Value Retained
4091-TVOCN,No,Retained,0,Priority 4 - High Value Retained
1098-TDVUQ,No,Retained,0,Priority 5 - Other Retained
7277-OZCGZ,No,Retained,0,Priority 5 - Other Retained
1557-EMYVT,No,Retained,0,Priority 4 - High Value Retained
2799-ARNLO,No,Retained,0,Priority 5 - Other Retained
7563-BIUPC,Yes,Churned,1,Priority 3 - Low Value Churned
5027-YOCXN,No,Retained,0,Priority 4 - High Value Retained
3973-SKMLN,No,Retained,0,Priority 5 - Other Retained
2321-OMBXY,Yes,Churned,1,Priority 1 - High Value Churned
2840-XANRC,Yes,Churned,1,Priority 2 - Medium Value Churned
6745-JEFZB,No,Retained,0,Priority 4 - High Value Retained
5020-ZSTTY,Yes,Churned,1,Priority 1 - High Value Churned
9880-TDQAC,No,Retained,0,Priority 4 - High Value Retained
8705-WZCYL,No,Retained,0,Priority 5 - Other Retained
7102-JJVTX,No,Retained,0,Priority 5 - Other Retained
8626-PTQGE,No,Retained,0,Priority 4 - High Value Retained
4983-CLMLV,No,Retained,0,Priority 4 - High Value Retained
5701-YVSVF,No,Retained,0,Priority 5 - Other Retained
5804-LEPIM,Yes,Churned,1,Priority 3 - Low Value Churned
5697-GOMBF,No,Retained,0,Priority 5 - Other Retained
2739-CACDQ,No,Retained,0,Priority 5 - Other Retained
9385-EHGDO,No,Retained,0,Priority 5 - Other Retained
9498-FIMXL,No,Retained,0,Priority 5 - Other Retained
2379-GYFLQ,No,Retained,0,Priority 4 - High Value Retained
0122-OAHPZ,Yes,Churned,1,Priority 3 - Low Value Churned
2868-SNELZ,Yes,Churned,1,Priority 3 - Low Value Churned
4322-RCYMT,Yes,Churned,1,Priority 1 - High Value Churned
6680-NENYN,Yes,Churned,1,Priority 1 - High Value Churned
2088-IEBAU,No,Retained,0,Priority 4 - High Value Retained
7982-VCELR,No,Retained,0,Priority 4 - High Value Retained
1343-EHPYB,Yes,Churned,1,Priority 1 - High Value Churned
6035-BXTTY,No,Retained,0,Priority 5 - Other Retained
6885-PKOAM,No,Retained,0,Priority 4 - High Value Retained
7520-HQWJU,No,Retained,0,Priority 4 - High Value Retained
9639-BUJXT,No,Retained,0,Priority 5 - Other Retained
5924-SNGKP,No,Retained,0,Priority 5 - Other Retained
0021-IKXGC,No,Retained,0,Priority 5 - Other Retained
2034-GDRCN,Yes,Churned,1,Priority 3 - Low Value Churned
8966-SNIZF,No,Retained,0,Priority 5 - Other Retained
6243-OZGFH,No,Retained,0,Priority 5 - Other Retained
4654-DLAMQ,No,Retained,0,Priority 4 - High Value Retained
0513-RBGPE,No,Retained,0,Priority 5 - Other Retained
5160-UXJED,No,Retained,0,Priority 5 - Other Retained
4115-NZRKS,No,Retained,0,Priority 5 - Other Retained
0219-YTZUE,Yes,Churned,1,Priority 3 - Low Value Churned
0623-IIHUG,Yes,Churned,1,Priority 2 - Medium Value Churned
4572-DVCGN,Yes,Churned,1,Priority 2 - Medium Value Churned
3351-NGXYI,No,Retained,0,Priority 5 - Other Retained
8984-EYLLL,No,Retained,0,Priority 4 - High Value Retained
9057-MSWCO,Yes,Churned,1,Priority 2 - Medium Value Churned
9833-TGFHX,No,Retained,0,Priority 4 - High Value Retained
9294-TDIPC,No,Retained,0,Priority 5 - Other Retained
5229-DTFYB,No,Retained,0,Priority 4 - High Value Retained
0104-PPXDV,No,Retained,0,Priority 4 - High Value Retained
5176-LMJXE,No,Retained,0,Priority 5 - Other Retained
3583-KRKMD,No,Retained,0,Priority 5 - Other Retained
1010-DIAUQ,Yes,Churned,1,Priority 3 - Low Value Churned
9069-LGEUL,No,Retained,0,Priority 5 - Other Retained
7302-ZHMHP,No,Retained,0,Priority 5 - Other Retained
9571-EDEBV,No,Retained,0,Priority 4 - High Value Retained
3520-FJGCV,No,Retained,0,Priority 4 - High Value Retained
6563-VRERX,No,Retained,0,Priority 5 - Other Retained
0259-GBZSH,Yes,Churned,1,Priority 3 - Low Value Churned
6122-EFVKN,No,Retained,0,Priority 5 - Other Retained
2805-EDJPQ,No,Retained,0,Priority 4 - High Value Retained
6862-CQUMB,No,Retained,0,Priority 4 - High Value Retained
7156-MXBJE,No,Retained,0,Priority 4 - High Value Retained
6158-HDPXZ,No,Retained,0,Priority 5 - Other Retained
9601-BRXPO,Yes,Churned,1,Priority 2 - Medium Value Churned
2863-IMQDR,No,Retained,0,Priority 4 - High Value Retained
5686-CMAWK,No,Retained,0,Priority 5 - Other Retained
5651-CRHKQ,No,Retained,0,Priority 4 - High Value Retained
6905-NIQIN,Yes,Churned,1,Priority 3 - Low Value Churned
8204-YJCLA,No,Retained,0,Priority 4 - High Value Retained
5167-ZFFMM,Yes,Churned,1,Priority 3 - Low Value Churned
6583-SZVGP,No,Retained,0,Priority 4 - High Value Retained
4895-TMWIR,Yes,Churned,1,Priority 3 - Low Value Churned
0533-BNWKF,Yes,Churned,1,Priority 1 - High Value Churned
1708-PBBOA,No,Retained,0,Priority 5 - Other Retained
8782-LKFPK,No,Retained,0,Priority 4 - High Value Retained
5522-JBWMO,No,Retained,0,Priority 5 - Other Retained
3597-MVHJT,No,Retained,0,Priority 5 - Other Retained
9774-NRNAU,No,Retained,0,Priority 5 - Other Retained
0224-RLWWD,No,Retained,0,Priority 5 - Other Retained
9967-ATRFS,No,Retained,0,Priority 5 - Other Retained
3951-NJCVI,No,Retained,0,Priority 4 - High Value Retained
2977-CEBSX,No,Retained,0,Priority 4 - High Value Retained
0177-PXBAT,No,Retained,0,Priority 4 - High Value Retained
6599-CEBNN,Yes,Churned,1,Priority 2 - Medium Value Churned
2519-ERQOJ,No,Retained,0,Priority 5 - Other Retained
5876-QMYLD,No,Retained,0,Priority 5 - Other Retained
2277-AXSDC,No,Retained,0,Priority 5 - Other Retained
9442-JTWDL,No,Retained,0,Priority 5 - Other Retained
0979-PHULV,Yes,Churned,1,Priority 1 - High Value Churned
3067-SVMTC,No,Retained,0,Priority 4 - High Value Retained
5495-GPSRW,No,Retained,0,Priority 5 - Other Retained
7606-BPHHN,No,Retained,0,Priority 5 - Other Retained
4742-DRORA,No,Retained,0,Priority 4 - High Value Retained
0111-KLBQG,No,Retained,0,Priority 4 - High Value Retained
4800-VHZKI,Yes,Churned,1,Priority 3 - Low Value Churned
7989-CHGTL,Yes,Churned,1,Priority 3 - Low Value Churned
0334-GDDSO,Yes,Churned,1,Priority 3 - Low Value Churned
4163-NCJAK,No,Retained,0,Priority 5 - Other Retained
5233-AOZUF,No,Retained,0,Priority 5 - Other Retained
5973-EJGDP,No,Retained,0,Priority 4 - High Value Retained
1996-DBMUS,No,Retained,0,Priority 4 - High Value Retained
7916-VCCPB,No,Retained,0,Priority 5 - Other Retained
4686-GEFRM,No,Retained,0,Priority 4 - High Value Retained
5249-QYHEX,No,Retained,0,Priority 5 - Other Retained
0578-SKVMF,Yes,Churned,1,Priority 2 - Medium Value Churned
5564-NEMQO,Yes,Churned,1,Priority 3 - Low Value Churned
2233-FAGXV,No,Retained,0,Priority 5 - Other Retained
5605-IYGFG,No,Retained,0,Priority 5 - Other Retained
7663-ZTEGJ,No,Retained,0,Priority 4 - High Value Retained
3935-TBRZZ,No,Retained,0,Priority 5 - Other Retained
8111-BKVDS,No,Retained,0,Priority 5 - Other Retained
2055-SIFSS,No,Retained,0,Priority 4 - High Value Retained
2806-MLNTI,No,Retained,0,Priority 4 - High Value Retained
8734-DKSTZ,No,Retained,0,Priority 5 - Other Retained
4360-PNRQB,No,Retained,0,Priority 5 - Other Retained
6152-ONASV,No,Retained,0,Priority 4 - High Value Retained
9063-ZGTUY,Yes,Churned,1,Priority 2 - Medium Value Churned
7781-HVGMK,No,Retained,0,Priority 4 - High Value Retained
2181-UAESM,No,Retained,0,Priority 5 - Other Retained
2957-LOLHO,Yes,Churned,1,Priority 3 - Low Value Churned
6048-NJXHX,No,Retained,0,Priority 5 - Other Retained
2320-SLKMB,No,Retained,0,Priority 5 - Other Retained
4980-URKXC,No,Retained,0,Priority 5 - Other Retained
4376-KFVRS,No,Retained,0,Priority 4 - High Value Retained
5886-VLQVU,No,Retained,0,Priority 4 - High Value Retained
3577-AMVUX,No,Retained,0,Priority 5 - Other Retained
0771-WLCLA,No,Retained,0,Priority 5 - Other Retained
5628-RKIFK,No,Retained,0,Priority 4 - High Value Retained
0206-TBWLC,No,Retained,0,Priority 4 - High Value Retained
2937-FTHUR,No,Retained,0,Priority 5 - Other Retained
1910-FMXJM,No,Retained,0,Priority 4 - High Value Retained
