customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,MonthlyChargeBand,TotalCharges,CustomerValue,IsMonthToMonth
7760-OYPDY,Month-to-month,Yes,Electronic check,80.65,High,144.15,Low Value,Yes
7639-LIAYI,Two year,Yes,Credit card (automatic),79.75,High,4217.8,High Value,No
2954-PIBKO,Two year,Yes,Credit card (automatic),64.15,Medium,4254.1,High Value,No
8012-SOUDQ,Month-to-month,Yes,Electronic check,90.25,Very High,3838.75,High Value,Yes
9420-LOJKX,Month-to-month,Yes,Credit card (automatic),99.1,Very High,1426.4,Medium Value,Yes
6575-SUVOI,Month-to-month,Yes,Credit card (automatic),69.5,Medium,1752.65,Medium Value,Yes
7495-OOKFY,Month-to-month,Yes,Credit card (automatic),80.65,High,633.3,Low Value,Yes
4667-QONEA,One year,Yes,Credit card (automatic),74.85,High,4456.35,High Value,No
1658-BYGOY,Month-to-month,Yes,Electronic check,95.45,Very High,1752.55,Medium Value,Yes
8769-KKTPH,One year,Yes,Credit card (automatic),99.65,Very High,6311.2,High Value,No
5067-XJQFU,One year,Yes,Electronic check,108.45,Very High,7076.35,High Value,No
3957-SQXML,Two year,No,Credit card (automatic),24.95,Low,894.3,Medium Value,No
5954-BDFSG,Two year,Yes,Credit card (automatic),107.5,Very High,7853.7,High Value,No
0434-CSFON,Month-to-month,Yes,Electronic check,100.5,Very High,4707.1,High Value,Yes
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),89.9,Very High,5450.7,High Value,Yes
0526-SXDJP,Two year,No,Bank transfer (automatic),42.1,Medium,2962,High Value,No
0557-ASKVU,One year,Yes,Credit card (automatic),54.4,Medium,957.1,Medium Value,No
5698-BQJOH,Month-to-month,No,Electronic check,94.4,Very High,857.25,Medium Value,Yes
5122-CYFXA,Month-to-month,Yes,Electronic check,75.3,High,244.1,Low Value,Yes
8627-ZYGSZ,One year,Yes,Electronic check,78.9,High,3650.35,High Value,No
3410-YOQBQ,Two year,No,Mailed check,79.2,High,2497.2,Medium Value,No
3170-NMYVV,Two year,No,Bank transfer (automatic),20.15,Low,930.9,Medium Value,No
7410-OIEDU,Month-to-month,Yes,Mailed check,79.85,High,887.35,Medium Value,Yes
2273-QCKXA,Month-to-month,No,Mailed check,49.05,Medium,49.05,Low Value,Yes
0731-EBJQB,One year,Yes,Electronic check,20.4,Low,1090.65,Medium Value,No
1891-QRQSA,Two year,Yes,Bank transfer (automatic),111.6,Very High,7099,High Value,No
8028-PNXHQ,Two year,Yes,Bank transfer (automatic),24.25,Low,1424.6,Medium Value,No
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),64.5,Medium,177.4,Low Value,Yes
2673-CXQEU,One year,No,Electronic check,110.5,Very High,6139.5,High Value,No
6416-JNVRK,One year,No,Credit card (automatic),55.65,Medium,2688.85,Medium Value,No
5590-ZSKRV,Month-to-month,No,Mailed check,54.65,Medium,482.25,Low Value,Yes
0191-ZHSKZ,Month-to-month,Yes,Electronic check,74.75,High,2111.3,Medium Value,Yes
3887-PBQAO,One year,Yes,Credit card (automatic),25.9,Low,1216.6,Medium Value,No
5919-TMRGD,Month-to-month,Yes,Electronic check,79.35,High,79.35,Low Value,Yes
8108-UXRQN,Month-to-month,No,Electronic check,50.55,Medium,565.35,Low Value,Yes
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic),75.15,High,496.9,Low Value,Yes
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic),103.8,Very High,4327.5,High Value,Yes
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),20.15,Low,973.35,Medium Value,No
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic),99.3,Very High,918.75,Medium Value,Yes
4808-YNLEU,One year,Yes,Bank transfer (automatic),62.15,Medium,2215.45,Medium Value,No
1862-QRWPE,Two year,No,Bank transfer (automatic),20.65,Low,1057,Medium Value,No
2796-NNUFI,Two year,Yes,Mailed check,19.95,Low,927.1,Medium Value,No
3016-KSVCP,Month-to-month,No,Mailed check,33.75,Low,1009.25,Medium Value,Yes
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic),82.05,High,2570.2,Medium Value,Yes
2424-WVHPL,Month-to-month,No,Electronic check,74.7,High,74.7,Low Value,Yes
7233-PAHHL,Two year,Yes,Mailed check,84,High,5714.25,High Value,No
6067-NGCEU,Month-to-month,Yes,Credit card (automatic),111.05,Very High,7107,High Value,Yes
9848-JQJTX,Two year,Yes,Bank transfer (automatic),100.9,Very High,7459.05,High Value,No
8637-XJIVR,Month-to-month,Yes,Electronic check,78.95,High,927.35,Medium Value,Yes
9803-FTJCG,One year,Yes,Credit card (automatic),66.85,Medium,4748.7,High Value,No
0278-YXOOG,Month-to-month,No,Mailed check,21.05,Low,113.85,Low Value,Yes
3212-KXOCR,Two year,No,Bank transfer (automatic),21,Low,1107.2,Medium Value,No
4598-XLKNJ,Month-to-month,Yes,Electronic check,98.5,Very High,2514.5,Medium Value,Yes
6380-ARCEH,Month-to-month,No,Mailed check,20.2,Low,20.2,Low Value,Yes
3679-XASPY,Month-to-month,No,Electronic check,19.45,Low,19.45,Low Value,Yes
7123-WQUHX,One year,No,Bank transfer (automatic),95,Very High,3605.6,High Value,No
5386-THSLQ,One year,No,Bank transfer (automatic),45.55,Medium,3027.25,High Value,No
3192-NQECA,Two year,Yes,Bank transfer (automatic),110,Very High,7611.85,High Value,No
6180-YBIQI,Month-to-month,No,Mailed check,24.3,Low,100.2,Low Value,Yes
6728-DKUCO,One year,Yes,Electronic check,104.15,Very High,7303.05,High Value,No
9750-BOOHV,One year,No,Mailed check,30.15,Low,927.65,Medium Value,No
8597-CWYHH,One year,No,Mailed check,94.35,Very High,3921.3,High Value,No
2848-YXSMW,Two year,No,Credit card (automatic),19.4,Low,1363.25,Medium Value,No
0486-HECZI,Month-to-month,Yes,Electronic check,96.75,Very High,5238.9,High Value,Yes
4549-ZDQYY,One year,No,Credit card (automatic),57.95,Medium,3042.25,High Value,No
5712-AHQNN,Month-to-month,Yes,Electronic check,91.65,Very High,3954.1,High Value,Yes
4846-WHAFZ,Month-to-month,Yes,Electronic check,76.5,High,2868.15,High Value,Yes
5256-SKJGO,Two year,Yes,Electronic check,54.6,Medium,3423.5,High Value,No
3071-VBYPO,Month-to-month,No,Electronic check,89.85,High,248.4,Low Value,Yes
9560-BBZXK,Two year,No,Bank transfer (automatic),31.05,Low,1126.35,Medium Value,No
5299-RULOA,Month-to-month,Yes,Electronic check,100.25,Very High,1064.65,Medium Value,Yes
8402-OOOHJ,Two year,No,Mailed check,20.65,Low,835.15,Medium Value,No
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic),85.2,High,2151.6,Medium Value,Yes
1091-SOZGA,One year,Yes,Credit card (automatic),99.8,Very High,5515.45,High Value,No
2928-HLDBA,Month-to-month,No,Mailed check,20.7,Low,112.75,Low Value,Yes
0404-SWRVG,Month-to-month,Yes,Electronic check,74.4,High,229.55,Low Value,Yes
6497-TILVL,Month-to-month,No,Mailed check,50.7,Medium,350.35,Low Value,Yes
7219-TLZHO,Month-to-month,No,Mailed check,20.85,Low,62.9,Low Value,Yes
4622-YNKIJ,Two year,Yes,Electronic check,88.95,High,3027.65,High Value,No
4412-YLTKF,Month-to-month,Yes,Electronic check,78.05,High,2135.5,Medium Value,Yes
6734-PSBAW,Two year,Yes,Bank transfer (automatic),23.55,Low,1723.95,Medium Value,No
3930-ZGWVE,Month-to-month,No,Mailed check,19.75,Low,19.75,Low Value,Yes
2639-UGMAZ,One year,Yes,Electronic check,56.45,Medium,3985.35,High Value,No
2876-GZYZC,Month-to-month,Yes,Electronic check,85.95,High,1215.65,Medium Value,Yes
6207-WIOLX,Month-to-month,Yes,Credit card (automatic),58.6,Medium,1502.65,Medium Value,Yes
8587-XYZSF,Two year,No,Bank transfer (automatic),50.55,Medium,3260.1,High Value,No
3091-FYHKI,Month-to-month,Yes,Electronic check,35.45,Low,35.45,Low Value,Yes
2372-HWUHI,Month-to-month,No,Electronic check,44.35,Medium,81.25,Low Value,Yes
7799-LGRDP,Two year,Yes,Credit card (automatic),25.7,Low,1188.2,Medium Value,No
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic),75,High,1778.5,Medium Value,Yes
3774-VBNXY,Two year,No,Mailed check,20.2,Low,1277.75,Medium Value,No
6217-KDYWC,Two year,Yes,Mailed check,19.6,Low,1170.55,Medium Value,No
0390-DCFDQ,Month-to-month,Yes,Mailed check,70.45,High,70.45,Low Value,Yes
3146-MSEGF,Two year,Yes,Credit card (automatic),88.05,High,6425.65,High Value,No
4080-OGPJL,Month-to-month,No,Electronic check,71.15,High,563.65,Low Value,Yes
1095-WGNGG,Two year,Yes,Bank transfer (automatic),101.05,Very High,5971.25,High Value,No
2636-SJDOU,One year,Yes,Credit card (automatic),84.3,High,5289.05,High Value,No
1131-QQZEB,Two year,No,Bank transfer (automatic),23.95,Low,1756.2,Medium Value,No
5716-EZXZN,Two year,Yes,Credit card (automatic),99.05,Very High,6416.7,High Value,No
6837-BJYDQ,One year,No,Mailed check,19.6,Low,61.35,Low Value,No
2135-RXIHG,Month-to-month,Yes,Electronic check,45.65,Medium,45.65,Low Value,Yes
6440-DKQGE,One year,No,Credit card (automatic),64.5,Medium,1929.95,Medium Value,No
3466-BYAVD,Month-to-month,Yes,Mailed check,69.5,Medium,1071.4,Medium Value,Yes
3780-YVMFA,Month-to-month,Yes,Electronic check,68.55,Medium,564.35,Low Value,Yes
3874-EQOEP,Month-to-month,No,Mailed check,95,Very High,655.5,Low Value,Yes
1679-JRFBR,One year,Yes,Credit card (automatic),108.15,Very High,7930.55,High Value,No
9073-ZZIAY,Two year,No,Electronic check,86.1,High,5215.25,High Value,No
3077-RSNTJ,Month-to-month,No,Mailed check,19.7,Low,113.5,Low Value,Yes
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic),80.9,High,1152.8,Medium Value,Yes
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic),84.15,High,1821.95,Medium Value,Yes
2749-CTKAJ,One year,No,Mailed check,20.15,Low,419.9,Low Value,No
6371-NZYEG,Two year,No,Mailed check,64.25,Medium,1024,Medium Value,No
7554-NEWDD,Two year,No,Bank transfer (automatic),25.7,Low,251.6,Low Value,No
8992-VONJD,Month-to-month,Yes,Electronic check,56,Medium,764.55,Medium Value,Yes
0867-MKZVY,Month-to-month,No,Electronic check,82.4,High,1592.35,Medium Value,Yes
4482-EWFMI,Month-to-month,Yes,Electronic check,69.7,Medium,135.2,Low Value,Yes
4648-YPBTM,Two year,Yes,Bank transfer (automatic),73.9,High,3958.25,High Value,No
2907-ILJBN,One year,No,Mailed check,20.6,Low,233.9,Low Value,No
6345-FZOQH,Two year,No,Mailed check,19.9,Low,1363.45,Medium Value,No
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),70.9,High,273,Low Value,Yes
5997-OPVFA,Two year,Yes,Bank transfer (automatic),89.05,High,6254.45,High Value,No
3445-HXXGF,Month-to-month,Yes,Electronic check,45.3,Medium,2651.2,Medium Value,Yes
1159-WFSGR,Month-to-month,No,Electronic check,20.4,Low,321.4,Low Value,Yes
7654-YWJUF,One year,Yes,Bank transfer (automatic),84.25,High,3539.25,High Value,No
1875-QIVME,Month-to-month,Yes,Electronic check,104.4,Very High,242.8,Low Value,Yes
6727-IOTLZ,Two year,No,Mailed check,81.95,High,1181.75,Medium Value,No
0691-JVSYA,One year,Yes,Bank transfer (automatic),94.85,Very High,5000.2,High Value,No
5918-VUKWP,One year,No,Bank transfer (automatic),20.55,Low,654.55,Low Value,No
1744-JHKYS,Month-to-month,No,Electronic check,24.7,Low,780.2,Medium Value,Yes
2656-FMOKZ,Month-to-month,Yes,Mailed check,74.45,High,1145.7,Medium Value,Yes
2070-FNEXE,Month-to-month,No,Bank transfer (automatic),76.45,High,503.6,Low Value,Yes
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic),105.35,Very High,1559.25,Medium Value,Yes
3712-PKXZA,One year,Yes,Credit card (automatic),20.55,Low,1252,Medium Value,No
6317-YPKDH,Month-to-month,No,Bank transfer (automatic),29.95,Low,29.95,Low Value,Yes
6582-OIVSP,Month-to-month,No,Mailed check,45.3,Medium,45.3,Low Value,Yes
9367-WXLCH,Month-to-month,No,Bank transfer (automatic),84.5,High,662.65,Low Value,Yes
5524-KHNJP,One year,No,Credit card (automatic),74.75,High,2453.3,Medium Value,No
1918-ZBFQJ,Month-to-month,Yes,Electronic check,79.25,High,1111.65,Medium Value,Yes
1024-GUALD,Month-to-month,Yes,Electronic check,24.8,Low,24.8,Low Value,Yes
4827-USJHP,Month-to-month,Yes,Mailed check,51.8,Medium,1023.85,Medium Value,Yes
8167-GJLRN,Month-to-month,No,Electronic check,30.4,Low,82.15,Low Value,Yes
0956-SYCWG,One year,No,Electronic check,19.65,Low,244.8,Low Value,No
8017-UVSZU,Month-to-month,No,Credit card (automatic),56.6,Medium,2379.1,Medium Value,Yes
7100-FQPRV,One year,Yes,Credit card (automatic),71.9,High,3173.35,High Value,No
2472-OVKUP,Month-to-month,Yes,Electronic check,91,Very High,531,Low Value,Yes
2984-RGEYA,Two year,No,Bank transfer (automatic),19.75,Low,1375.4,Medium Value,No
9680-NIAUV,Two year,No,Credit card (automatic),109.7,Very High,8129.3,High Value,No
2146-EGVDT,Two year,No,Credit card (automatic),19.3,Low,1192.7,Medium Value,No
2604-IJPDU,Month-to-month,Yes,Electronic check,96.55,Very High,1901.65,Medium Value,Yes
9178-JHUVJ,Two year,Yes,Bank transfer (automatic),24.1,Low,587.4,Low Value,No
6168-YBYNP,Month-to-month,Yes,Electronic check,111.35,Very High,6519.75,High Value,Yes
7255-SSFBC,Two year,Yes,Bank transfer (automatic),112.25,Very High,8041.65,High Value,No
3645-DEYGF,Month-to-month,No,Mailed check,20.75,Low,20.75,Low Value,Yes
9323-HGFWY,One year,Yes,Credit card (automatic),101.9,Very High,2681.15,Medium Value,No
8544-GOQSH,Month-to-month,Yes,Credit card (automatic),80.05,High,1112.3,Medium Value,Yes
3363-DTIVD,Two year,No,Electronic check,105.55,Very High,7405.5,High Value,No
7018-WBJNK,Month-to-month,Yes,Credit card (automatic),78.3,High,1033.95,Medium Value,Yes
9142-KZXOP,Month-to-month,No,Credit card (automatic),68.85,Medium,2958.95,High Value,Yes
7674-YTAFD,One year,Yes,Bank transfer (automatic),79.95,High,2684.85,Medium Value,No
6348-SNFUS,Two year,Yes,Credit card (automatic),55.45,Medium,4179.2,High Value,No
1285-OKIPP,Month-to-month,No,Electronic check,79.9,High,79.9,Low Value,Yes
7825-ECJRF,Month-to-month,Yes,Electronic check,106.6,Very High,1934.45,Medium Value,Yes
1347-KTTTA,One year,Yes,Credit card (automatic),102.45,Very High,6654.1,High Value,No
7841-TZDMQ,Month-to-month,Yes,Credit card (automatic),46,Medium,84.5,Low Value,Yes
4195-NZGTA,Month-to-month,No,Electronic check,25.25,Low,25.25,Low Value,Yes
7157-SMCFK,Two year,No,Mailed check,19.75,Low,1124.2,Medium Value,No
4709-LKHYG,One year,No,Electronic check,20,Low,540.05,Low Value,No
2504-DSHIH,Month-to-month,No,Electronic check,86.8,High,1975.85,Medium Value,Yes
0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic),58.75,Medium,3437.45,High Value,Yes
9286-BHDQG,Two year,No,Credit card (automatic),45.25,Medium,3139.8,High Value,No
0230-WEQUW,Two year,Yes,Bank transfer (automatic),56.6,Medium,3789.2,High Value,No
2040-LDIWQ,Two year,Yes,Bank transfer (automatic),84.2,High,5324.5,High Value,No
6496-JDSSB,Month-to-month,Yes,Bank transfer (automatic),80,High,624.6,Low Value,Yes
9408-SSNVZ,Month-to-month,Yes,Electronic check,70.15,Medium,268.35,Low Value,Yes
4443-EMBNA,Two year,No,Bank transfer (automatic),24.75,Low,1836.9,Medium Value,No
6469-MRVET,One year,Yes,Electronic check,20.2,Low,20.2,Low Value,No
0742-MOABM,Month-to-month,No,Mailed check,50.05,Medium,179.35,Low Value,Yes
5961-VUSRV,One year,Yes,Bank transfer (automatic),19.35,Low,219.35,Low Value,No
6778-JFCMK,One year,Yes,Mailed check,50.6,Medium,1288.75,Medium Value,No
6341-JVQGF,One year,Yes,Mailed check,81.15,High,2545.75,Medium Value,No
2232-DMLXU,Month-to-month,No,Mailed check,55.2,Medium,55.2,Low Value,Yes
4811-JBUVU,Month-to-month,Yes,Credit card (automatic),89.9,Very High,2723.15,Medium Value,Yes
0945-TSONX,Two year,Yes,Credit card (automatic),85.3,High,4107.25,High Value,No
2651-ZCBXV,Two year,Yes,Credit card (automatic),108,Very High,5760.65,High Value,No
3316-UWXUY,Month-to-month,Yes,Credit card (automatic),93.5,Very High,4747.5,High Value,Yes
8937-RDTHP,Month-to-month,Yes,Mailed check,84.6,High,84.6,Low Value,Yes
7083-MIOPC,Two year,No,Credit card (automatic),20.25,Low,1566.9,Medium Value,No
1984-GPTEH,Month-to-month,No,Electronic check,25.15,Low,702,Medium Value,Yes
1251-KRREG,Month-to-month,Yes,Mailed check,54.4,Medium,114.1,Low Value,Yes
0621-JFHOL,Two year,Yes,Mailed check,29.6,Low,299.05,Low Value,No
9903-LYSAB,Month-to-month,Yes,Electronic check,73.15,High,1305.95,Medium Value,Yes
0094-OIFMO,Month-to-month,Yes,Electronic check,95,Very High,1120.3,Medium Value,Yes
9227-UAQFT,Two year,No,Mailed check,19.75,Low,284.35,Low Value,No
7301-ABVAD,Two year,No,Bank transfer (automatic),86.6,High,6350.5,High Value,No
6614-FHDBO,Two year,No,Bank transfer (automatic),109.2,Very High,7878.3,High Value,No
7576-ASEJU,One year,Yes,Credit card (automatic),74.7,High,3187.65,High Value,No
9058-HRZSV,Month-to-month,No,Electronic check,94.4,Very High,6126.15,High Value,Yes
4522-AKYLR,Month-to-month,Yes,Electronic check,54.8,Medium,731.3,Medium Value,Yes
0221-WMXNQ,Month-to-month,No,Electronic check,75.35,High,273.4,Low Value,Yes
0303-UNCIP,One year,No,Mailed check,65,Medium,2531.8,Medium Value,No
9947-OTFQU,Month-to-month,Yes,Electronic check,74.4,High,1074.3,Medium Value,Yes
0322-YINQP,Month-to-month,Yes,Mailed check,48.55,Medium,48.55,Low Value,Yes
0959-WHOKV,One year,Yes,Electronic check,99,Very High,4298.45,High Value,No
4075-JFPGR,One year,Yes,Electronic check,93.5,Very High,4619.55,High Value,No
4629-NRXKX,Month-to-month,No,Electronic check,70.4,High,147.15,Low Value,Yes
9514-JDSKI,Month-to-month,No,Electronic check,40.2,Medium,40.2,Low Value,Yes
3282-ZISZV,One year,No,Credit card (automatic),83.7,High,2633.3,Medium Value,No
3675-YDUPJ,Month-to-month,Yes,Mailed check,19.85,Low,193.05,Low Value,Yes
4111-BNXIF,Two year,Yes,Electronic check,59.55,Medium,4103.9,High Value,No
7017-VFHAY,Two year,No,Credit card (automatic),115.1,Very High,7008.15,High Value,No
6655-LHBYW,One year,No,Credit card (automatic),114.35,Very High,5791.1,High Value,No
4959-JOSRX,Month-to-month,Yes,Credit card (automatic),44.6,Medium,80.55,Low Value,Yes
5046-NUHWD,Month-to-month,Yes,Electronic check,45,Medium,1228.65,Medium Value,Yes
7273-TEFQD,Month-to-month,Yes,Electronic check,41.15,Medium,132.2,Low Value,Yes
3606-TWKGI,Month-to-month,Yes,Electronic check,106.9,Very High,1364.3,Medium Value,Yes
7529-ZDFXI,Month-to-month,Yes,Electronic check,89.85,High,4925.35,High Value,Yes
7605-BDWDC,Two year,Yes,Bank transfer (automatic),49.85,Medium,1520.1,Medium Value,No
1950-KSVVJ,One year,No,Mailed check,113.3,Very High,5032.25,High Value,No
0123-CRBRT,Two year,No,Mailed check,88.1,High,5526.75,High Value,No
6292-TOSSS,Two year,No,Bank transfer (automatic),24.9,Low,1195.25,Medium Value,No
3197-ARFOY,Month-to-month,Yes,Mailed check,105,Very High,2007.25,Medium Value,Yes
6323-AYBRX,Two year,No,Mailed check,19.35,Low,1099.6,Medium Value,No
7014-ZZXAW,Two year,Yes,Credit card (automatic),24.25,Low,1732.95,Medium Value,No
4385-GZQXV,Month-to-month,Yes,Electronic check,94.45,Very High,1511.2,Medium Value,Yes
7633-MVPUY,Two year,Yes,Electronic check,59.75,Medium,3450.15,High Value,No
6366-ZGQGL,Month-to-month,No,Bank transfer (automatic),24.8,Low,24.8,Low Value,Yes
4716-HHKQH,Month-to-month,No,Electronic check,107.05,Very High,2172.05,Medium Value,Yes
5940-AHUHD,Month-to-month,No,Mailed check,70.6,High,70.6,Low Value,Yes
6432-TWQLB,Month-to-month,Yes,Electronic check,85.4,High,401.1,Low Value,Yes
4484-GLZOU,Month-to-month,Yes,Electronic check,105.05,Very High,5624.85,High Value,Yes
3179-GBRWV,Month-to-month,Yes,Bank transfer (automatic),64.95,Medium,1339.8,Medium Value,Yes
8645-KWHJO,Month-to-month,Yes,Electronic check,55,Medium,771.95,Medium Value,Yes
4130-MZLCC,Month-to-month,No,Bank transfer (automatic),50.55,Medium,244.75,Low Value,Yes
0314-TKOSI,Month-to-month,No,Mailed check,55.15,Medium,322.9,Low Value,Yes
8229-MYEJZ,Month-to-month,No,Electronic check,51.2,Medium,498.25,Low Value,Yes
2080-SRCDE,Month-to-month,No,Mailed check,25.4,Low,25.4,Low Value,Yes
9577-WJVCQ,Month-to-month,No,Mailed check,54.45,Medium,3687.75,High Value,Yes
9512-UIBFX,Month-to-month,No,Mailed check,95.15,Very High,1779.95,Medium Value,Yes
6202-DYYFX,One year,Yes,Credit card (automatic),76,High,1783.6,Medium Value,No
3808-HFKDE,Month-to-month,Yes,Electronic check,44.35,Medium,927.15,Medium Value,Yes
5583-SXDAG,Month-to-month,No,Electronic check,70,Medium,70,Low Value,Yes
3488-PGMQJ,Month-to-month,Yes,Electronic check,74.5,High,606.55,Low Value,Yes
3580-REOAC,Month-to-month,Yes,Credit card (automatic),44.85,Medium,435.4,Low Value,Yes
7534-BFESC,Month-to-month,Yes,Electronic check,76.1,High,1712.7,Medium Value,Yes
3727-OWVYD,One year,No,Mailed check,61.2,Medium,2021.2,Medium Value,No
2294-SALNE,One year,No,Mailed check,86.8,High,1940.8,Medium Value,No
4847-TAJYI,Month-to-month,Yes,Electronic check,89.35,High,567.8,Low Value,Yes
1563-IWQEX,Month-to-month,No,Mailed check,19.7,Low,220.35,Low Value,Yes
8203-XJZRC,Month-to-month,No,Mailed check,20.25,Low,20.25,Low Value,Yes
6556-DBKZF,Two year,No,Electronic check,76.05,High,5436.45,High Value,No
6851-WEFYX,Month-to-month,Yes,Electronic check,100.8,Very High,3437.5,High Value,Yes
2985-JUUBZ,Month-to-month,Yes,Electronic check,74.55,High,3015.75,High Value,Yes
6390-DSAZX,Month-to-month,Yes,Mailed check,73.6,High,73.6,Low Value,Yes
0895-LMRSF,One year,Yes,Bank transfer (automatic),64.9,Medium,1509.8,Medium Value,No
8098-LLAZX,Month-to-month,Yes,Electronic check,95.45,Very High,396.1,Low Value,Yes
8266-VBFQL,Month-to-month,Yes,Electronic check,90.4,Very High,356.65,Low Value,Yes
8181-YHCMF,Two year,No,Credit card (automatic),60.3,Medium,4109,High Value,No
2240-HSJQD,Month-to-month,Yes,Mailed check,81.85,High,3141.7,High Value,Yes
1248-DYXUB,Two year,No,Mailed check,24.8,Low,1229.1,Medium Value,No
